name,gender,birthyear,n_raters,occupation,industry,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,likability,pred_likability
Alan Turing,Male,1912,13,COMPUTER SCIENTIST,COMPUTER SCIENCE,3,3.3076923076923075,5.6923076923076925,4.076923076923077,5.230769230769231,5.153846153846154,4.6923076923076925,2.6153846153846154,4.461538461538462,2,58.07692307692308,51.72040514709041
Lamar Odom,Male,1979,11,BASKETBALL PLAYER,TEAM SPORTS,4.818181818181818,4.363636363636363,3.5454545454545454,4.2727272727272725,4.818181818181818,3.1818181818181817,4.363636363636363,4.090909090909091,3.272727272727273,3.272727272727273,13.363636363636363,16.96195545995742
Conan O'Brien,Male,1963,34,PRESENTER,MEDIA PERSONALITY,6.676470588235294,3.5,5.5588235294117645,2.823529411764706,5.647058823529412,1.8529411764705883,5.088235294117647,2.8529411764705883,4.970588235294118,2.411764705882353,54.94117647058823,42.537007817747046
Zodiac Killer,Male,1940,17,EXTREMIST,OUTLAWS,3.0588235294117645,6.176470588235294,3.5294117647058822,5.647058823529412,3.823529411764706,4.529411764705882,1.2941176470588236,3.0588235294117645,1.6470588235294117,2.411764705882353,-96.52941176470588,-38.077372936182854
Prince Harry of Wales,Male,1984,32,NOBLEMAN,GOVERNMENT,4.5625,3.65625,5.09375,3.59375,5.46875,4.09375,5,2.84375,4.59375,3.53125,36.75,4.757168019624004
Dwyane Wade,Male,1982,22,BASKETBALL PLAYER,TEAM SPORTS,5.636363636363637,3.5,5.818181818181818,3,5.181818181818182,2.772727272727273,5.045454545454546,2.3181818181818183,5.090909090909091,2.9545454545454546,46.90909090909091,54.25566405704126
Simon Pegg,Male,1970,15,WRITER,LANGUAGE,6,2.8,5.6,2.533333333333333,5.8,2.8,5.2,2.4,5.2,1.4666666666666666,69.86666666666666,50.52950904787616
Dennis Rodman,Male,1961,13,BASKETBALL PLAYER,TEAM SPORTS,6.307692307692308,4.846153846153846,4.153846153846154,4.307692307692308,5.769230769230769,1.4615384615384617,4.230769230769231,3.1538461538461537,2.923076923076923,1.5384615384615383,37.61538461538461,10.29553654546022
Roger Ebert,Male,1942,21,CRITIC,LANGUAGE,4.9523809523809526,5.428571428571429,5.714285714285714,3.2857142857142856,5.523809523809524,3.238095238095238,4,2.1904761904761907,4.666666666666667,2.761904761904762,38.66666666666666,63.94915001382813
Roald Dahl,Male,1916,12,WRITER,LANGUAGE,4.333333333333333,3.583333333333333,5.5,2.9166666666666665,5.416666666666667,4.583333333333333,4.666666666666667,2.75,4.583333333333333,1.0833333333333333,46.5,59.25937052694643
